partnerID,country,region_state,day,month,year,voter_gender,voter_year_of_birth,education_level,priority1,priority2,priority3,priority4,priority5,priority6,suggested_priority
MDGsNG,Nigeria,Delta,14,3,2013,Female,1965,2,110,109,106,103,104,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1976,3,109,106,103,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1965,4,112,106,103,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1941,1,109,106,103,104,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1983,4,106,103,107,104,101,111,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1981,3,109,106,104,101,111,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1966,3,109,106,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1980,3,109,102,103,104,101,111,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1984,4,112,102,103,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1964,3,109,103,104,101,111,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1952,4,109,106,104,101,111,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1952,2,109,106,103,104,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1961,1,109,106,103,104,101,111,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1966,3,109,106,101,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1965,3,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1943,2,110,106,103,104,101,111,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1971,3,112,107,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1985,4,109,103,104,101,111,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1971,4,112,106,107,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1990,2,109,106,103,107,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1986,2,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1973,3,106,103,114,104,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1956,1,109,106,103,104,101,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1970,3,109,106,103,104,102,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1949,4,109,103,104,101,105,115,
